公司,名称,地址,学历,福利,经验,职位类型,薪资
 江苏世轩供应链管理有限公司 ,财务主管, 仙林大… ,大专,"广告,五险一金,话补,加班补助,年底双薪,周末双休",1年以下,财务经理/主管,4000-8000
 南京百年同庆餐饮有限公司 ,高薪诚聘驻店会计, 仙林大… ,大专,"五险一金,包吃,包住,话补",不限,会计/会计师,3800-5000
 南京携创餐饮服务有限公司 ,杨将军巷9号KTV会计, 仙林大… ,大专,"包吃,包住",1-2年,会计/会计师,3500-4500
 南京康瑞美化妆品有限公司 ,财务, 仙林大… ,大专,,3-5年,财务/会计助理,面议
 南京高立工程机械有限公司 ,急聘往来/销售会计, 仙林大… ,大专,"包住,包吃,五险一金,年底双薪",1-2年,会计/会计师,5000-6000
 江苏东风南方汽车销售服务有限… ,会计五险一金双薪工作餐, 仙林大… ,大专,"五险一金,包吃,加班补助",不限,会计/会计师,4000-5000
 广州子辛网络开发有限公司 ,出纳|0基础上岗培训, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,出纳,4000-7000
 南京金厚教育科技有限公司 ,会计, 仙林大… ,大专,"五险一金,年底双薪,周末双休,交通补助,加班补助",10年以上,会计/会计师,3000-5000
 南京茂凯物流有限公司 ,总账会计, 仙林大… ,大专,"包吃,包住,交通补助,饭补,加班补助",3-5年,会计/会计师,面议
 美迷医疗管理（上海）有限公司 ,会计5五险可应届生, 仙林大… ,不限,"加班补助,房补,包吃,交通补助,话补",不限,会计/会计师,3000-4000
 南京中普钢铁销售有限公司 ,会计, 仙林大… ,本科,"五险一金,周末双休,交通补助,饭补",6-7年,会计/会计师,面议
 南京百世鑫餐饮管理有限公司 ,双休招聘会计, 仙林大… ,大专,周末双休,1-2年,会计/会计师,4000-6000
 广州子辛网络开发有限公司 ,会计培训+ 好工作, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 广州子辛网络开发有限公司 ,会计小白培训+就业推荐, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 广州子辛网络开发有限公司 ,财务会计|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 江苏快鹿商旅汽车服务有限公司 ,会计, 仙林大… ,大专,"包吃,五险一金",6-7年,会计/会计师,面议
 广州子辛网络开发有限公司 ,审计|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,4000-6000
 广州子辛网络开发有限公司 ,出纳|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,4000-6000
 广州子辛网络开发有限公司 ,转行0基础学会计+双休, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 广州子辛网络开发有限公司 ,管理会计|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,4000-6500
 南京苏创艺术培训有限公司 ,教育机构聘会计兼人事1名, 仙林大… ,大专,"年底双薪,加班补助,交通补助,五险一金",不限,财务/会计助理,3000-5000
 广州子辛网络开发有限公司 ,财务助理|0基础培训上岗, 仙林大… ,不限,"求职保障,五险一金,周末双休,年底双薪",不限,财务/会计助理,3500-6000
 广州子辛网络开发有限公司 ,出纳|会计提升技能培训, 仙林大… ,不限,"求职保障,五险一金,周末双休,年底双薪",不限,出纳,3500-6000
 广州子辛网络开发有限公司 ,出纳|会计0基础实操培训, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,出纳,4000-6000
 广州子辛网络开发有限公司 ,出纳|会计0基础实操培训, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,出纳,3500-6000
 广州子辛网络开发有限公司 ,总账会计|会计提升培训, 仙林大… ,不限,"求职保障,五险一金,周末双休,年底双薪",不限,财务/会计助理,3500-6000
 聚力医药 ,初级会计, 仙林大… ,大专,"加班补助,五险一金",1-2年,会计/会计师,4000-6000
 南京七河生物科技有限公司 ,专职会计, 仙林大… ,本科,"包吃,年底双薪,加班补助,包住,周末双休",8-10年,会计/会计师,4000-8000
 南京宝睿丰商贸有限公司 ,打包人员会计销售, 仙林大… ,不限,"房补,饭补",不限,会计/会计师,面议
 南京蓝青文化传播有限公司 ,培训中心前台, 仙林大… ,大专,"五险一金,包住,话补,交通补助,饭补",1-2年,会计/会计师,3500-6000
 南京中全人力资源有限公司 ,公司直招会计包吃午饭, 仙林大… ,不限,"求职保障,包吃,加班补助,五险一金,年底双薪,交通补助",不限,会计/会计师,4000-8000
 南京塔兰托商贸有限公司 ,出纳会计（江宁润发西路）, 仙林大… ,高中,"五险一金,包住",不限,会计/会计师,4000-6000
 江苏铝铸建材有限公司 ,会计, 仙林大… ,大专,"五险一金,包吃,交通补助,年底双薪",不限,会计/会计师,面议
 南京别忘了商贸有限公司 ,会计, 仙林大… ,大专,"五险一金,包吃,包住,话补,饭补",1-2年,会计/会计师,5500-7500
 南京埃尔顿智能科技有限公司 ,会计, 仙林大… ,中专,"周末双休,加班补助",3-5年,会计/会计师,4000-4500
 南京古理生态农业科技发展有限… ,会计, 仙林大… ,大专,"五险一金,包吃,包住",不限,会计/会计师,5500-6000
 南京虎龙文化传播有限公司 ,出纳, 仙林大… ,不限,"包吃,包住",不限,会计/会计师,3000-4000
 南京苏奥体育设施工程有限公司 ,骋中级职称会计+待遇优, 仙林大… ,大专,"五险一金,周末双休,饭补,交通补助,加班补助",3-5年,会计/会计师,5000-8000
 南京酒仕堂酒业有限责任公司 ,急聘会计五险一金, 仙林大… ,不限,"求职保障,五险一金",10年以上,会计/会计师,3000-5000
 南京佳音人力资源有限公司 ,急招会计一名, 仙林大… ,大专,"求职保障,五险一金,周末双休,交通补助,加班补助,包住",3-5年,会计/会计师,3800-5500
 江苏公大食品有限公司 ,成本会计, 仙林大… ,不限,"五险一金,周末双休",1-2年,会计/会计师,5000-6000
 南京合顺财务管理有限公司 ,总账会计+双休+五险, 仙林大… ,大专,周末双休,3-5年,会计/会计师,5000-8000
 江苏格源财务服务有限公司 ,新街口会计双休年假, 仙林大… ,大专,"五险一金,周末双休,交通补助,饭补,话补",1-2年,会计/会计师,6000-8000
 南京品世餐饮管理有限公司 ,会计, 仙林大… ,不限,"包住,话补,饭补,加班补助",3-5年,会计/会计师,面议
 南京市雨花台区南舒房餐饮店 ,高薪急聘6K+财务, 仙林大… ,不限,,不限,会计/会计师,6000-7000
 南京邦联汽车租赁有限公司 ,总账会计+五险高福利, 仙林大… ,大专,,3-5年,会计/会计师,4000-4500
 南京中全人力资源有限公司 ,栖霞区招会计一名, 仙林大… ,不限,"包住,包吃,年底双薪,交通补助,加班补助",不限,会计/会计师,3500-5000
 南京世代缘大酒店有限公司 ,总账会计, 仙林大… ,不限,"包吃,包住,周末双休",1-2年,会计/会计师,5000-6000
 南京市雨花台区康都建材销售中心 ,诚聘财务会计, 仙林大… ,本科,"饭补,周末双休",3-5年,会计/会计师,5000-7000
 南京紫坤餐饮管理有限公司 ,名客汇成本核算会计, 仙林大… ,不限,"包吃,包住",不限,会计/会计师,面议
 南京小蛮腰美容有限公司 ,会计, 仙林大… ,大专,加班补助,不限,会计/会计师,4000-5000
 南京瑞顺物流有限公司 ,会计, 仙林大… ,大专,"五险一金,包住,年底双薪,话补,饭补",1-2年,会计/会计师,5000-6000
